категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Инженерные системы,Газгольдерная,"Диаметр, мм","Газгольдерная Количество Диаметр, мм","Газгольдерная марки Диаметр, мм, размер Количество резов, шт",,0,,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,"газгольдерная;р”еамрµтсђ, мм","Диаметр, мм","Количество резов, шт",,
Инженерные системы,Газгольдерная,1-3,Газгольдерная 4-6 1-3,"Газгольдерная марки 1-3, размер 4-6",4,10,7-9,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;1-3;4;6,1-3,4-6,,7-9
Инженерные системы,Газгольдерная,80,Газгольдерная 430 80,"Газгольдерная марки 80, размер 430",430,220,330,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;80;430,80,430,,330
Инженерные системы,Газгольдерная,85,Газгольдерная 430 85,"Газгольдерная марки 85, размер 430",430,220,330,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;85;430,85,430,,330
Инженерные системы,Газгольдерная,95,Газгольдерная 430 95,"Газгольдерная марки 95, размер 430",430,220,330,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;95;430,95,430,,330
Инженерные системы,Газгольдерная,100,Газгольдерная 480 100,"Газгольдерная марки 100, размер 480",480,280,380,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;100;480,100,480,,380
Инженерные системы,Газгольдерная,110,Газгольдерная 480 110,"Газгольдерная марки 110, размер 480",480,280,380,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;110;480,110,480,,380
Инженерные системы,Газгольдерная,120,Газгольдерная 480 120,"Газгольдерная марки 120, размер 480",480,280,380,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;120;480,120,480,,380
Инженерные системы,Газгольдерная,130,Газгольдерная 480 130,"Газгольдерная марки 130, размер 480",480,280,380,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;130;480,130,480,,380
Инженерные системы,Газгольдерная,140,Газгольдерная 480 140,"Газгольдерная марки 140, размер 480",480,280,380,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;140;480,140,480,,380
Инженерные системы,Газгольдерная,150,Газгольдерная 670 150,"Газгольдерная марки 150, размер 670",670,450,540,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;150;670,150,670,,540
Инженерные системы,Газгольдерная,160,Газгольдерная 670 160,"Газгольдерная марки 160, размер 670",670,450,540,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;160;670,160,670,,540
Инженерные системы,Газгольдерная,170,Газгольдерная 670 170,"Газгольдерная марки 170, размер 670",670,450,540,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;170;670,170,670,,540
Инженерные системы,Газгольдерная,180,Газгольдерная 670 180,"Газгольдерная марки 180, размер 670",670,450,540,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;180;670,180,670,,540
Инженерные системы,Газгольдерная,190,Газгольдерная 670 190,"Газгольдерная марки 190, размер 670",670,450,540,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;190;670,190,670,,540
Инженерные системы,Газгольдерная,200,Газгольдерная 980 200,"Газгольдерная марки 200, размер 980",980,730,820,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;200;980,200,980,,820
Инженерные системы,Газгольдерная,210,Газгольдерная 980 210,"Газгольдерная марки 210, размер 980",980,730,820,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/GAZGOLDERNAYA/img.webp,газгольдерная;210;980,210,980,,820
