категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Инженерные системы,Анкерная техника,Анкер забивной 10,Анкерная техника 40 Анкер забивной 10,"Анкерная техника марки Анкер забивной 10, размер 40",40,225245,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер забивной 10;40,Анкер забивной 10,40,,тыс.шт
Инженерные системы,Анкерная техника,Анкер забивной 12,Анкерная техника 50 Анкер забивной 12,"Анкерная техника марки Анкер забивной 12, размер 50",50,494493,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер забивной 12;50,Анкер забивной 12,50,,тыс.шт
Инженерные системы,Анкерная техника,Анкер забивной 14,Анкерная техника 60 Анкер забивной 14,"Анкерная техника марки Анкер забивной 14, размер 60",60,865128,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер забивной 14;60,Анкер забивной 14,60,,тыс.шт
Инженерные системы,Анкерная техника,Анкер забивной 16,Анкерная техника 65 Анкер забивной 16,"Анкерная техника марки Анкер забивной 16, размер 65",65,105165,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер забивной 16;65,Анкер забивной 16,65,,тыс.шт
Инженерные системы,Анкерная техника,Анкер забивной 20,Анкерная техника 80 Анкер забивной 20,"Анкерная техника марки Анкер забивной 20, размер 80",80,315600,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер забивной 20;80,Анкер забивной 20,80,,тыс.шт
Инженерные системы,Анкерная техника,Анкер забивной 20,Анкерная техника 80 Анкер забивной 20,"Анкерная техника марки Анкер забивной 20, размер 80",80,334657,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер забивной 20;80,Анкер забивной 20,80,,тыс.шт
Инженерные системы,Анкерная техника,Анкер забивной 8,Анкерная техника 30 Анкер забивной 8,"Анкерная техника марки Анкер забивной 8, размер 30",30,135826,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер забивной 8;30,Анкер забивной 8,30,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 100 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 100",100,659468,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;100,Анкер клиновой 10,100,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 120 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 120",120,751695,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;120,Анкер клиновой 10,120,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиново� 10,Анкерная техника 130 Анкер клиново� 10,"Анкерная техника марки Анкер клиново� 10, размер 130",130,831422,тыс.шт,https://www.kavstal.ru/public/assets/images/mages/unknown/unknown.png,инженерные системы;анкерная техника;анкер клиново? 10;130,Анкер клиново� 10,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,,тыс.шт,,,
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 130 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 130",130,842465,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;130,Анкер клиновой 10,130,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 150 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 150",150,885823,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;150,Анкер клиновой 10,150,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 160 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 160",160,101166,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;160,Анкер клиновой 10,160,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 65 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 65",65,487637,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;65,Анкер клиновой 10,65,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 80 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 80",80,564508,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;80,Анкер клиновой 10,80,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 90 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 90",90,603137,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;90,Анкер клиновой 10,90,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 95 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 95",95,649925,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;95,Анкер клиновой 10,95,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 100 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 100",100,100310,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;100,Анкер клиновой 12,100,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 100 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 100",100,943235,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;100,Анкер клиновой 12,100,,тыс.шт
