категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Изделия и проектные позиции,Газгольдерная,80,Газгольдерная 430 80,"Газгольдерная марки 80, размер 430",430,18150,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;80;430,80,430,,330
Изделия и проектные позиции,Газгольдерная,85,Газгольдерная 430 85,"Газгольдерная марки 85, размер 430",430,18150,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;85;430,85,430,,330
Изделия и проектные позиции,Газгольдерная,95,Газгольдерная 430 95,"Газгольдерная марки 95, размер 430",430,18150,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;95;430,95,430,,330
Изделия и проектные позиции,Газгольдерная,100,Газгольдерная 480 100,"Газгольдерная марки 100, размер 480",480,20900,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;100;480,100,480,,380
Изделия и проектные позиции,Газгольдерная,110,Газгольдерная 480 110,"Газгольдерная марки 110, размер 480",480,20900,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;110;480,110,480,,380
Изделия и проектные позиции,Газгольдерная,120,Газгольдерная 480 120,"Газгольдерная марки 120, размер 480",480,20900,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;120;480,120,480,,380
Изделия и проектные позиции,Газгольдерная,130,Газгольдерная 480 130,"Газгольдерная марки 130, размер 480",480,20900,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;130;480,130,480,,380
Изделия и проектные позиции,Газгольдерная,140,Газгольдерная 480 140,"Газгольдерная марки 140, размер 480",480,20900,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;140;480,140,480,,380
Изделия и проектные позиции,Газгольдерная,150,Газгольдерная 670 150,"Газгольдерная марки 150, размер 670",670,29700,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;150;670,150,670,,540
Изделия и проектные позиции,Газгольдерная,160,Газгольдерная 670 160,"Газгольдерная марки 160, размер 670",670,29700,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;160;670,160,670,,540
Изделия и проектные позиции,Газгольдерная,170,Газгольдерная 670 170,"Газгольдерная марки 170, размер 670",670,29700,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;170;670,170,670,,540
Изделия и проектные позиции,Газгольдерная,180,Газгольдерная 670 180,"Газгольдерная марки 180, размер 670",670,29700,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;180;670,180,670,,540
Изделия и проектные позиции,Газгольдерная,190,Газгольдерная 670 190,"Газгольдерная марки 190, размер 670",670,29700,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;190;670,190,670,,540
Изделия и проектные позиции,Газгольдерная,200,Газгольдерная 980 200,"Газгольдерная марки 200, размер 980",980,45100,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;200;980,200,980,,820
Изделия и проектные позиции,Газгольдерная,210,Газгольдерная 980 210,"Газгольдерная марки 210, размер 980",980,45100,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;210;980,210,980,,820
Изделия и проектные позиции,Газгольдерная,220,Газгольдерная 980 220,"Газгольдерная марки 220, размер 980",980,45100,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Изделия_и_проектные_позиции/Газгольдерная/газгольдерная.webp,газгольдерная;220;980,220,980,,820
