категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 20 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 20",20,260,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;20","Фланец стальной воротниковый Ду воротниковый, сталь Py16",20,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 25 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 25",25,350,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;25","Фланец стальной воротниковый Ду воротниковый, сталь Py16",25,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 32 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 32",32,380,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;32","Фланец стальной воротниковый Ду воротниковый, сталь Py16",32,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 40 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 40",40,405,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;40","Фланец стальной воротниковый Ду воротниковый, сталь Py16",40,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 50 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 50",50,499,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;50","Фланец стальной воротниковый Ду воротниковый, сталь Py16",50,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 65 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 65",65,635,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;65","Фланец стальной воротниковый Ду воротниковый, сталь Py16",65,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 80 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 80",80,779,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;80","Фланец стальной воротниковый Ду воротниковый, сталь Py16",80,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 100 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 100",100,990,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;100","Фланец стальной воротниковый Ду воротниковый, сталь Py16",100,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 125 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 125",125,1470,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;125","Фланец стальной воротниковый Ду воротниковый, сталь Py16",125,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 150 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 150",150,1780,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;150","Фланец стальной воротниковый Ду воротниковый, сталь Py16",150,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 200 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 200",200,2600,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;200","Фланец стальной воротниковый Ду воротниковый, сталь Py16",200,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 250 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 250",250,4517,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;250","Фланец стальной воротниковый Ду воротниковый, сталь Py16",250,,шт
