категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Крепёж и метизы,Анкерная техника,Анкер забивной 10,Анкерная техника 40 Анкер забивной 10,"Анкерная техника марки Анкер забивной 10, размер 40",40,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_забивной.webp;https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_1.webp;https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_забивной_1.webp;https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_забивной_2.webp,инженерные системы;анкерная техника;анкер забивной 10;40,Анкер забивной 10,40,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер забивной 12,Анкерная техника 50 Анкер забивной 12,"Анкерная техника марки Анкер забивной 12, размер 50",50,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_забивной.webp,инженерные системы;анкерная техника;анкер забивной 12;50,Анкер забивной 12,50,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер забивной 14,Анкерная техника 60 Анкер забивной 14,"Анкерная техника марки Анкер забивной 14, размер 60",60,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_забивной.webp,инженерные системы;анкерная техника;анкер забивной 14;60,Анкер забивной 14,60,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер забивной 16,Анкерная техника 65 Анкер забивной 16,"Анкерная техника марки Анкер забивной 16, размер 65",65,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_забивной.webp,инженерные системы;анкерная техника;анкер забивной 16;65,Анкер забивной 16,65,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер забивной 20,Анкерная техника 80 Анкер забивной 20,"Анкерная техника марки Анкер забивной 20, размер 80",80,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_забивной.webp,инженерные системы;анкерная техника;анкер забивной 20;80,Анкер забивной 20,80,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер забивной 20,Анкерная техника 80 Анкер забивной 20,"Анкерная техника марки Анкер забивной 20, размер 80",80,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_забивной.webp,инженерные системы;анкерная техника;анкер забивной 20;80,Анкер забивной 20,80,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер забивной 8,Анкерная техника 30 Анкер забивной 8,"Анкерная техника марки Анкер забивной 8, размер 30",30,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_забивной.webp,инженерные системы;анкерная техника;анкер забивной 8;30,Анкер забивной 8,30,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер клиновой 10,Анкерная техника 100 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 100",100,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_клиновой.webp,инженерные системы;анкерная техника;анкер клиновой 10;100,Анкер клиновой 10,100,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер клиновой 10,Анкерная техника 120 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 120",120,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_клиновой.webp,инженерные системы;анкерная техника;анкер клиновой 10;120,Анкер клиновой 10,120,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер клиново� 10,Анкерная техника 130 Анкер клиново� 10,"Анкерная техника марки Анкер клиново� 10, размер 130",130,30000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_клиновой.webp,инженерные системы;анкерная техника;анкер клиново? 10;130,Анкер клиново� 10,тыс.шт,,тыс.шт
Крепёж и метизы,Анкерная техника,Анкер клиновой 10,Анкерная техника 130 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 130",130,240000,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Крепёж_и_метизы/Анкерная_техника/анкер_клиновой.webp,инженерные системы;анкерная техника;анкер клиновой 10;130,Анкер клиновой 10,130,,тыс.шт
