категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
"Круг, квадрат, полоса",КРУГ Г/К,Ст3,Круг стальной г/к 10 мм Ст3,Круг стальной г/к 10 мм Ст3,10,53990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3;10;круг;стальной;г/к;мм,Ст3,10,ГОСТ 2590-2006,т
"Круг, квадрат, полоса",КРУГ Г/К,Ст3,Круг стальной г/к 14 мм Ст3,Круг стальной г/к 14 мм Ст3,14,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3;14;18;20;25;круг;стальной;г/к;мм,Ст3,14 ; 18; 20; 25,ГОСТ 2590-2006,т
"Круг, квадрат, полоса",КРУГ Г/К,Ст3 оцинк,Круг стальной г/к 12 мм Ст3 оцинк,Круг стальной г/к 12 мм Ст3 оцинк,12,102990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3 оцинк;12;круг;стальной;г/к;мм;ст3;оцинк,Ст3 оцинк,12,ГОСТ 2590-2006,т
"Круг, квадрат, полоса",КРУГ Г/К,Ст3 оцинк,Круг стальной г/к 16 мм Ст3 оцинк,Круг стальной г/к 16 мм Ст3 оцинк,16,99990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3 оцинк;16;18;круг;стальной;г/к;мм;ст3;оцинк,Ст3 оцинк,16 ; 18,ГОСТ 2590-2006,т
"Круг, квадрат, полоса",КРУГ Г/К,Ст3 оцинк К,Круг стальной г/к 8 мм Ст3 оцинк К,Круг стальной г/к 8 мм Ст3 оцинк К,8,101250,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3 оцинк к;8;круг;стальной;г/к;мм;ст3;оцинк,Ст3 оцинк К,8,ГОСТ 2590-2006,т
"Круг, квадрат, полоса",КРУГ Г/К,Ст3 н/д,Круг стальной г/к 12 мм Ст3 н/д,Круг стальной г/к 12 мм Ст3 н/д,12,49990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3 н/д;12;круг;стальной;г/к;мм;ст3;н/д,Ст3 н/д,12,ГОСТ 2590-2006,т
"Круг, квадрат, полоса",КВАДРАТ Г/К,Ст3,Квадрат стальной г/к 10 мм Ст3,Квадрат стальной г/к 10 мм Ст3,10,54490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KVADRAT_GK/img.jpg,балашиха;квадрат г/к;ст3;10;квадрат;стальной;г/к;мм,Ст3,10,ГОСТ 2591-2006,т
"Круг, квадрат, полоса",КВАДРАТ Г/К,Ст3,Квадрат стальной г/к 12 мм Ст3,Квадрат стальной г/к 12 мм Ст3,12,52990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KVADRAT_GK/img.jpg,балашиха;квадрат г/к;ст3;12;14;16;квадрат;стальной;г/к;мм,Ст3,12 ; 14; 16,ГОСТ 2591-2006,т
"Круг, квадрат, полоса",КВАДРАТ Г/К,Ст3,Квадрат стальной г/к 20 мм Ст3,Квадрат стальной г/к 20 мм Ст3,20,53990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KVADRAT_GK/img.jpg,балашиха;квадрат г/к;ст3;20;25;квадрат;стальной;г/к;мм,Ст3,20 ; 25,ГОСТ 2591-2006,т
"Круг, квадрат, полоса",КВАДРАТ Г/К,Ст3,Квадрат стальной г/к 50 мм Ст3,Квадрат стальной г/к 50 мм Ст3,50,64990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KVADRAT_GK/img.jpg,балашиха;квадрат г/к;ст3;50;квадрат;стальной;г/к;мм,Ст3,50,ГОСТ 2591-2006,т
"Круг, квадрат, полоса",ПОЛОСА Г/К,Ст3 20,Полоса стальная 20x4 мм Ст3,Полоса стальная 20x4 мм Ст3,4,61990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/POLOSA_GK/img.png,балашиха;полоса г/к;ст3 20;4;полоса;стальная;20x4;мм;ст3,Ст3 20,4,ГОСТ 103-2006,т
"Круг, квадрат, полоса",ПОЛОСА Г/К,Ст3 25,Полоса стальная 25x4 мм Ст3,Полоса стальная 25x4 мм Ст3,4,61490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/POLOSA_GK/img.png,балашиха;полоса г/к;ст3 25;4;полоса;стальная;25x4;мм;ст3,Ст3 25,4,ГОСТ 103-2006,т
"Круг, квадрат, полоса",ПОЛОСА Г/К,Ст3 30,Полоса стальная 30x4 мм Ст3,Полоса стальная 30x4 мм Ст3,4,52990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/POLOSA_GK/img.png,балашиха;полоса г/к;ст3 30;4;полоса;стальная;30x4;мм;ст3,Ст3 30,4,ГОСТ 103-2006,т
"Круг, квадрат, полоса",ПОЛОСА Г/К,Ст3 40,Полоса стальная 40x4 мм Ст3,Полоса стальная 40x4 мм Ст3,4,52990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/POLOSA_GK/img.png,балашиха;полоса г/к;ст3 40;4;полоса;стальная;40x4;мм;ст3,Ст3 40,4,ГОСТ 103-2006,т
"Круг, квадрат, полоса",ПОЛОСА Г/К,Ст3 40,Полоса стальная 40x5 мм Ст3,Полоса стальная 40x5 мм Ст3,5,54990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/POLOSA_GK/img.png,балашиха;полоса г/к;ст3 40;5;полоса;стальная;40x5;мм;ст3,Ст3 40,5,ГОСТ 103-2006,т
