категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",Ст3,"СТАЛЬ СОРТ КОНСТР КРУГ 10 Ст3","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3, размер 10",10,53990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3;10",Ст3,10,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",Ст3,"СТАЛЬ СОРТ КОНСТР КРУГ 12 Ст3","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3, размер 12",12,49990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3;12",Ст3,12,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",Ст3,"СТАЛЬ СОРТ КОНСТР КРУГ 14 Ст3","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3, размер 14 ; 16; 18; 20; 22; 24; 25; 28; 30; 32; 34; 36; 38; 40; 42; 45; 48",14,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3;14;16;18;20;22;24;25;28;30;32;34;36;38;40;42;45;48",Ст3,"14 ; 16; 18; 20; 22; 24; 25; 28; 30; 32; 34; 36; 38; 40; 42; 45; 48","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",Ст3,"СТАЛЬ СОРТ КОНСТР КРУГ 50 Ст3","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3, размер 50 ; 56; 60; 65; 70; 75; 80",50,48990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3;50;56;60;65;70;75;80",Ст3,"50 ; 56; 60; 65; 70; 75; 80","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",Ст3,"СТАЛЬ СОРТ КОНСТР КРУГ 90 Ст3","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3, размер 90 ; 100",90,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3;90;100",Ст3,"90 ; 100","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",Ст3,"СТАЛЬ СОРТ КОНСТР КРУГ 110 Ст3","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3, размер 110 ; 120; 130; 140; 150; 160; 180",110,54590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3;110;120;130;140;150;160;180",Ст3,"110 ; 120; 130; 140; 150; 160; 180","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",Ст3,"СТАЛЬ СОРТ КОНСТР КРУГ 190 Ст3","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3, размер 190 ; 200",190,63990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3;190;200",Ст3,"190 ; 200","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",Ст3,"СТАЛЬ СОРТ КОНСТР КРУГ 210 Ст3","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3, размер 210 ; 220; 230; 240; 250",210,66590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3;210;220;230;240;250",Ст3,"210 ; 220; 230; 240; 250","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",Ст3,"СТАЛЬ СОРТ КОНСТР КРУГ 260 Ст3","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3, размер 260 ; 270",260,79990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3;260;270",Ст3,"260 ; 270","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ","Ст3 оцинк","СТАЛЬ СОРТ КОНСТР КРУГ 8 Ст3 оцинк","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3 оцинк, размер 8",8,101990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3 оцинк;8","Ст3 оцинк",8,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ","Ст3 оцинк","СТАЛЬ СОРТ КОНСТР КРУГ 12 Ст3 оцинк","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3 оцинк, размер 12",12,102990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3 оцинк;12","Ст3 оцинк",12,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ","Ст3 оцинк","СТАЛЬ СОРТ КОНСТР КРУГ 16 Ст3 оцинк","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3 оцинк, размер 16 ; 18; 20",16,99990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3 оцинк;16;18;20","Ст3 оцинк","16 ; 18; 20","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ","Ст3 оцинк К","СТАЛЬ СОРТ КОНСТР КРУГ 8 Ст3 оцинк К","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3 оцинк К, размер 8 ; 12",8,101250,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3 оцинк к;8;12","Ст3 оцинк К","8 ; 12","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ","Ст3 оцинк оцинк","СТАЛЬ СОРТ КОНСТР КРУГ 10 Ст3 оцинк оцинк","СТАЛЬ СОРТ КОНСТР КРУГ марки Ст3 оцинк оцинк, размер 10",10,104990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;ст3 оцинк оцинк;10","Ст3 оцинк оцинк",10,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 16 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 16 ; 20; 22; 24; 25; 28; 30; 32; 36; 45; 48; 50; 56; 65; 75; 80",16,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;16;20;22;24;25;28;30;32;36;45;48;50;56;65;75;80",09Г2С,"16 ; 20; 22; 24; 25; 28; 30; 32; 36; 45; 48; 50; 56; 65; 75; 80","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 85 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 85 ; 90; 100",85,54990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;85;90;100",09Г2С,"85 ; 90; 100","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 105 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 105 ; 110; 120; 130; 150; 160",105,58590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;105;110;120;130;150;160",09Г2С,"105 ; 110; 120; 130; 150; 160","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 170 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 170 ; 180",170,64590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;170;180",09Г2С,"170 ; 180","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 190 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 190 ; 200",190,67990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;190;200",09Г2С,"190 ; 200","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 210 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 210 ; 220",210,74990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;210;220",09Г2С,"210 ; 220","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 240 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 240 ; 250",240,78990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;240;250",09Г2С,"240 ; 250","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 260 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 260",260,87990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;260",09Г2С,260,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 270 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 270",270,88990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;270",09Г2С,270,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",09Г2С,"СТАЛЬ СОРТ КОНСТР КРУГ 280 09Г2С","СТАЛЬ СОРТ КОНСТР КРУГ марки 09Г2С, размер 280 ; 290",280,94990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;09г2с;280;290",09Г2С,"280 ; 290","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",18ХГТ,"СТАЛЬ СОРТ КОНСТР КРУГ 30 18ХГТ","СТАЛЬ СОРТ КОНСТР КРУГ марки 18ХГТ, размер 30 ; 36; 40; 42; 50; 60; 70; 80",30,56990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;18хгт;30;36;40;42;50;60;70;80",18ХГТ,"30 ; 36; 40; 42; 50; 60; 70; 80","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",18ХГТ,"СТАЛЬ СОРТ КОНСТР КРУГ 100 18ХГТ","СТАЛЬ СОРТ КОНСТР КРУГ марки 18ХГТ, размер 100",100,59990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;18хгт;100",18ХГТ,100,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",18ХГТ,"СТАЛЬ СОРТ КОНСТР КРУГ 110 18ХГТ","СТАЛЬ СОРТ КОНСТР КРУГ марки 18ХГТ, размер 110 ; 130; 140; 150; 160",110,63490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;18хгт;110;130;140;150;160",18ХГТ,"110 ; 130; 140; 150; 160","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",18ХГТ,"СТАЛЬ СОРТ КОНСТР КРУГ 200 18ХГТ","СТАЛЬ СОРТ КОНСТР КРУГ марки 18ХГТ, размер 200",200,75990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;18хгт;200",18ХГТ,200,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",18ХГТ,"СТАЛЬ СОРТ КОНСТР КРУГ 210 18ХГТ","СТАЛЬ СОРТ КОНСТР КРУГ марки 18ХГТ, размер 210 ; 220; 230; 240; 250",210,86990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;18хгт;210;220;230;240;250",18ХГТ,"210 ; 220; 230; 240; 250","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",18ХГТ,"СТАЛЬ СОРТ КОНСТР КРУГ 270 18ХГТ","СТАЛЬ СОРТ КОНСТР КРУГ марки 18ХГТ, размер 270 ; 280; 290",270,99990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;18хгт;270;280;290",18ХГТ,"270 ; 280; 290","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",18ХГТ,"СТАЛЬ СОРТ КОНСТР КРУГ 300 18ХГТ","СТАЛЬ СОРТ КОНСТР КРУГ марки 18ХГТ, размер 300",300,119990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;18хгт;300",18ХГТ,300,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",20Х,"СТАЛЬ СОРТ КОНСТР КРУГ 20 20Х","СТАЛЬ СОРТ КОНСТР КРУГ марки 20Х, размер 20 ; 25; 30; 34; 36; 40; 50; 56; 60; 65; 70; 75; 80",20,53990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;20х;20;25;30;34;36;40;50;56;60;65;70;75;80",20Х,"20 ; 25; 30; 34; 36; 40; 50; 56; 60; 65; 70; 75; 80","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",20Х,"СТАЛЬ СОРТ КОНСТР КРУГ 90 20Х","СТАЛЬ СОРТ КОНСТР КРУГ марки 20Х, размер 90 ; 100; 110; 120; 130; 140; 150; 160; 170; 180",90,58990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;20х;90;100;110;120;130;140;150;160;170;180",20Х,"90 ; 100; 110; 120; 130; 140; 150; 160; 170; 180","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",20Х,"СТАЛЬ СОРТ КОНСТР КРУГ 210 20Х","СТАЛЬ СОРТ КОНСТР КРУГ марки 20Х, размер 210 ; 220",210,73990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;20х;210;220",20Х,"210 ; 220","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",20Х,"СТАЛЬ СОРТ КОНСТР КРУГ 250 20Х","СТАЛЬ СОРТ КОНСТР КРУГ марки 20Х, размер 250",250,79990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;20х;250",20Х,250,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",20Х,"СТАЛЬ СОРТ КОНСТР КРУГ 260 20Х","СТАЛЬ СОРТ КОНСТР КРУГ марки 20Х, размер 260 ; 270; 280",260,94990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;20х;260;270;280",20Х,"260 ; 270; 280","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",30ХГСА,"СТАЛЬ СОРТ КОНСТР КРУГ 16 30ХГСА","СТАЛЬ СОРТ КОНСТР КРУГ марки 30ХГСА, размер 16 ; 20; 25; 30; 36; 40; 45; 50; 56; 60; 65; 70; 75; 80",16,56990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;30хгса;16;20;25;30;36;40;45;50;56;60;65;70;75;80",30ХГСА,"16 ; 20; 25; 30; 36; 40; 45; 50; 56; 60; 65; 70; 75; 80","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",30ХГСА,"СТАЛЬ СОРТ КОНСТР КРУГ 90 30ХГСА","СТАЛЬ СОРТ КОНСТР КРУГ марки 30ХГСА, размер 90 ; 95; 100",90,59990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;30хгса;90;95;100",30ХГСА,"90 ; 95; 100","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",30ХГСА,"СТАЛЬ СОРТ КОНСТР КРУГ 110 30ХГСА","СТАЛЬ СОРТ КОНСТР КРУГ марки 30ХГСА, размер 110 ; 120; 130; 140; 150; 160",110,63990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;30хгса;110;120;130;140;150;160",30ХГСА,"110 ; 120; 130; 140; 150; 160","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",30ХГСА,"СТАЛЬ СОРТ КОНСТР КРУГ 170 30ХГСА","СТАЛЬ СОРТ КОНСТР КРУГ марки 30ХГСА, размер 170 ; 180",170,70990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;30хгса;170;180",30ХГСА,"170 ; 180","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",30ХГСА,"СТАЛЬ СОРТ КОНСТР КРУГ 220 30ХГСА","СТАЛЬ СОРТ КОНСТР КРУГ марки 30ХГСА, размер 220 ; 230; 250",220,86990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;30хгса;220;230;250",30ХГСА,"220 ; 230; 250","ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",30ХГСА,"СТАЛЬ СОРТ КОНСТР КРУГ 260 30ХГСА","СТАЛЬ СОРТ КОНСТР КРУГ марки 30ХГСА, размер 260",260,92990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;30хгса;260",30ХГСА,260,"ГОСТ 2590-2006",т
"Сортовой прокат","СТАЛЬ СОРТ КОНСТР КРУГ",30ХГСА,"СТАЛЬ СОРТ КОНСТР КРУГ 280 30ХГСА","СТАЛЬ СОРТ КОНСТР КРУГ марки 30ХГСА, размер 280",280,99990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/СТАЛЬ_СОРТ_КОНСТР_КРУГ/img.png,"листовой прокат;сталь сорт констр круг;30хгса;280",30ХГСА,280,"ГОСТ 2590-2006",т
