категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 4 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 4",4,111490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;4,40Х,4,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 6 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 6",6,110490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;6,40Х,6,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 7 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 7",7,117490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;7,40Х,7,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 8 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 8 ; 10",8,105490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;8;10,40Х,8 ; 10,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 11 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 11",11,107490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;11,40Х,11,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 12 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 12",12,105490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;12,40Х,12,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 13 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 13 ; 14; 16; 18",13,104490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;13;14;16;18,40Х,13 ; 14; 16; 18,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 20 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 20",20,103490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;20,40Х,20,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 22 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 22",22,101490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;22,40Х,22,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 24 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 24 ; 25; 26",24,99490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;24;25;26,40Х,24 ; 25; 26,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 27 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 27 ; 28; 30; 32",27,97490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;27;28;30;32,40Х,27 ; 28; 30; 32,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 34 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 34 ; 35; 36; 40; 45",34,96490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;34;35;36;40;45,40Х,34 ; 35; 36; 40; 45,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,40Х,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 52 40Х,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки 40Х, размер 52 ; 60",52,99490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;40х;52;60,40Х,52 ; 60,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,А-12,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 3 А-12,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки А-12, размер 3 ; 4",3,152490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;а-12;3;4,А-12,3 ; 4,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,А-12,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 5 А-12,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки А-12, размер 5 ; 6; 7",5,124490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;а-12;5;6;7,А-12,5 ; 6; 7,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ,А-12,СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ 8 А-12,"СТАЛЬ СОРТ Х/Т КАЛИБРОВКА КРУГ марки А-12, размер 8 ; 9; 10",8,121490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KHT_KALIBROVKA_KRUG/img.webp,метизы;сталь сорт х/т калибровка круг;а-12;8;9;10,А-12,8 ; 9; 10,ГОСТ 2590-2006,т
