категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,Н60 845(902)-0.8 RAL 7004 уценка,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.8 Н60 845(902)-0.8 RAL 7004 уценка,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки Н60 845(902)-0.8 RAL 7004 уценка, размер 0.8",0.8,735,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;н60 845(902)-0.8 ral 7004 уценка;8,Н60 845(902)-0.8 RAL 7004 уценка,0.8,,м
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,Н75 750(800)-0.5 RAL 8017 Уценка,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.5 Н75 750(800)-0.5 RAL 8017 Уценка,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки Н75 750(800)-0.5 RAL 8017 Уценка, размер 0.5",0.5,687,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;н75 750(800)-0.5 ral 8017 уценка;5,Н75 750(800)-0.5 RAL 8017 Уценка,0.5,,м
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,НС35 1000(1060)-0.45 RAL 1018,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.45 НС35 1000(1060)-0.45 RAL 1018,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки НС35 1000(1060)-0.45 RAL 1018, размер 0.45",0.45,560,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;нс35 1000(1060)-0.45 ral 1018;45,НС35 1000(1060)-0.45 RAL 1018,0.45,,м
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,НС44 1000(1064)-0.4 RAL 6005,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.4 НС44 1000(1064)-0.4 RAL 6005,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки НС44 1000(1064)-0.4 RAL 6005, размер 0.4",0.4,490,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;нс44 1000(1064)-0.4 ral 6005;4,НС44 1000(1064)-0.4 RAL 6005,0.4,,м
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,С10 1100(1170)-0.5 RAL 7004,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.5 С10 1100(1170)-0.5 RAL 7004,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки С10 1100(1170)-0.5 RAL 7004, размер 0.5",0.5,620,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;с10 1100(1170)-0.5 ral 7004;5,С10 1100(1170)-0.5 RAL 7004,0.5,,м
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,С20 1100(1150)-0.35 RAL 3005,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.35 С20 1100(1150)-0.35 RAL 3005,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки С20 1100(1150)-0.35 RAL 3005, размер 0.35",0.35,377,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;с20 1100(1150)-0.35 ral 3005;35,С20 1100(1150)-0.35 RAL 3005,0.35,,м
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,С20 1100(1150)-0.35 RAL 5005,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.35 С20 1100(1150)-0.35 RAL 5005,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки С20 1100(1150)-0.35 RAL 5005, размер 0.35",0.35,377,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;с20 1100(1150)-0.35 ral 5005;35,С20 1100(1150)-0.35 RAL 5005,0.35,,м
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,С20 1100(1150)-0.35 RAL 6005,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.35 С20 1100(1150)-0.35 RAL 6005,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки С20 1100(1150)-0.35 RAL 6005, размер 0.35",0.35,377,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;с20 1100(1150)-0.35 ral 6005;35,С20 1100(1150)-0.35 RAL 6005,0.35,,м
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,С20 1100(1150)-0.35 RAL 7024,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.35 С20 1100(1150)-0.35 RAL 7024,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки С20 1100(1150)-0.35 RAL 7024, размер 0.35",0.35,377,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;с20 1100(1150)-0.35 ral 7024;35,С20 1100(1150)-0.35 RAL 7024,0.35,,м
Листовой прокат,ПРОФНАСТИЛ ОКРАШЕННЫЙ,С20 1100(1150)-0.35 RAL 8017,ПРОФНАСТИЛ ОКРАШЕННЫЙ 0.35 С20 1100(1150)-0.35 RAL 8017,"ПРОФНАСТИЛ ОКРАШЕННЫЙ марки С20 1100(1150)-0.35 RAL 8017, размер 0.35",0.35,377,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/PROFNASTIL_OKRASHENNYI/img.webp,ногинск;профнастил окрашенный;с20 1100(1150)-0.35 ral 8017;35,С20 1100(1150)-0.35 RAL 8017,0.35,,м
