категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Сортовой прокат,АРМАТУРА,кл А1 А240,АРМАТУРА 14 А1 А240,"АРМАТУРА марки кл А1 А240, размер 14 ; 18",14,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а1 а240;14;18,кл А1 А240,14 ; 18,ГОСТ 34028-2016,т
Сортовой прокат,АРМАТУРА,кл А1 А240С,АРМАТУРА 10 А1 А240С,"АРМАТУРА марки кл А1 А240С, размер 10",10,51490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а1 а240с;10,кл А1 А240С,10,ГОСТ 34028-2016,т
Сортовой прокат,АРМАТУРА,кл А1 А240С,АРМАТУРА 16 А1 А240С,"АРМАТУРА марки кл А1 А240С, размер 16",16,48490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а1 а240с;16,кл А1 А240С,16,ГОСТ 34028-2016,т
Сортовой прокат,АРМАТУРА,кл А1 мотки А240,АРМАТУРА 6 А1 мотки А240,"АРМАТУРА марки кл А1 мотки А240, размер 6 ; 8",6,50990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а1 мотки а240;6;8,кл А1 мотки А240,6 ; 8,ГОСТ 34028-2016,т
Сортовой прокат,АРМАТУРА,кл А1 мотки Ст3,АРМАТУРА 12 А1 мотки Ст3,"АРМАТУРА марки кл А1 мотки Ст3, размер 12",12,50490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а1 мотки ст3;12,кл А1 мотки Ст3,12,ГОСТ 34028-2016,т
Сортовой прокат,АРМАТУРА,кл А1 Ст3,АРМАТУРА 12 А1 Ст3,"АРМАТУРА марки кл А1 Ст3, размер 12",12,48990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а1 ст3;12,кл А1 Ст3,12,ГОСТ 34028-2016,т
Сортовой прокат,АРМАТУРА,кл А1 Ст3 6м,АРМАТУРА 6 А1 Ст3 6м,"АРМАТУРА марки кл А1 Ст3 6м, размер 6 ; 8",6,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а1 ст3 6м;6;8,кл А1 Ст3 6м,6 ; 8,ГОСТ 34028-2016,т
Сортовой прокат,АРМАТУРА,кл А1 Ст3 6м,АРМАТУРА 12 А1 Ст3 6м,"АРМАТУРА марки кл А1 Ст3 6м, размер 12",12,48990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а1 ст3 6м;12,кл А1 Ст3 6м,12,ГОСТ 34028-2016,т
Сортовой прокат,АРМАТУРА,кл А3 35ГС,АРМАТУРА 6 А3 35ГС,"АРМАТУРА марки кл А3 35ГС, размер 6",6,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 35гс;6,кл А3 35ГС,6,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 35ГС,АРМАТУРА 10 А3 35ГС,"АРМАТУРА марки кл А3 35ГС, размер 10",10,53990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 35гс;10,кл А3 35ГС,10,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500,АРМАТУРА 8 А3 А400;500,"АРМАТУРА марки кл А3 А400;500, размер 8",8,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500;8,кл А3 А400;500,8,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500,АРМАТУРА 10 А3 А400;500,"АРМАТУРА марки кл А3 А400;500, размер 10",10,49990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500;10,кл А3 А400;500,10,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500,АРМАТУРА 12 А3 А400;500,"АРМАТУРА марки кл А3 А400;500, размер 12",12,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500;12,кл А3 А400;500,12,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500,АРМАТУРА 14 А3 А400;500,"АРМАТУРА марки кл А3 А400;500, размер 14 ; 16; 18; 20",14,47490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500;14;16;18;20,кл А3 А400;500,14 ; 16; 18; 20,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500,АРМАТУРА 22 А3 А400;500,"АРМАТУРА марки кл А3 А400;500, размер 22",22,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500;22,кл А3 А400;500,22,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500,АРМАТУРА 25 А3 А400;500,"АРМАТУРА марки кл А3 А400;500, размер 25 ; 28; 32; 36; 40",25,47490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500;25;28;32;36;40,кл А3 А400;500,25 ; 28; 32; 36; 40,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500 6м,АРМАТУРА 6 А3 А400;500 6м,"АРМАТУРА марки кл А3 А400;500 6м, размер 6 ; 8",6,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500 6м;6;8,кл А3 А400;500 6м,6 ; 8,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500 6м,АРМАТУРА 10 А3 А400;500 6м,"АРМАТУРА марки кл А3 А400;500 6м, размер 10",10,50490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500 6м;10,кл А3 А400;500 6м,10,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500 6м,АРМАТУРА 12 А3 А400;500 6м,"АРМАТУРА марки кл А3 А400;500 6м, размер 12",12,48490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500 6м;12,кл А3 А400;500 6м,12,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500 н/д,АРМАТУРА 10 А3 А400;500 н/д,"АРМАТУРА марки кл А3 А400;500 н/д, размер 10",10,43490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500 н/д;10,кл А3 А400;500 н/д,10,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 А400;500 н/д,АРМАТУРА 12 А3 А400;500 н/д,"АРМАТУРА марки кл А3 А400;500 н/д, размер 12",12,40990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 а400;500 н/д;12,кл А3 А400;500 н/д,12,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 мотки 35ГС,АРМАТУРА 6 А3 мотки 35ГС,"АРМАТУРА марки кл А3 мотки 35ГС, размер 6",6,50990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 мотки 35гс;6,кл А3 мотки 35ГС,6,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 мотки А400;500,АРМАТУРА 6 А3 мотки А400;500,"АРМАТУРА марки кл А3 мотки А400;500, размер 6",6,50990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 мотки а400;500;6,кл А3 мотки А400;500,6,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 мотки А400;500,АРМАТУРА 8 А3 мотки А400;500,"АРМАТУРА марки кл А3 мотки А400;500, размер 8",8,51490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 мотки а400;500;8,кл А3 мотки А400;500,8,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 мотки А400;500,АРМАТУРА 10 А3 мотки А400;500,"АРМАТУРА марки кл А3 мотки А400;500, размер 10",10,54490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 мотки а400;500;10,кл А3 мотки А400;500,10,ГОСТ 5781-82,т
Сортовой прокат,АРМАТУРА,кл А3 ТУ 38.32.22-09-15610448-2021 н/д некондиция,АРМАТУРА 12 А3 ТУ 38.32.22-09-15610448-2021 н/д некондиция,"АРМАТУРА марки кл А3 ТУ 38.32.22-09-15610448-2021 н/д некондиция, размер 12",12,37990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,балашиха;арматура;кл а3 ту 38.32.22-09-15610448-2021 н/д некондиция;12,кл А3 ТУ 38.32.22-09-15610448-2021 н/д некондиция,12,ГОСТ 5781-82,т
Сортовой прокат,КРУГ Г/К,Ст3,КРУГ Г/К 10 Ст3,"КРУГ Г/К марки Ст3, размер 10",10,53990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3;10,Ст3,10,ГОСТ 2590-2006,т
Сортовой прокат,КРУГ Г/К,Ст3,КРУГ Г/К 14 Ст3,"КРУГ Г/К марки Ст3, размер 14 ; 18; 20; 25",14,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3;14;18;20;25,Ст3,14 ; 18; 20; 25,ГОСТ 2590-2006,т
Сортовой прокат,КРУГ Г/К,Ст3 оцинк,КРУГ Г/К 12 Ст3 оцинк,"КРУГ Г/К марки Ст3 оцинк, размер 12",12,102990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3 оцинк;12,Ст3 оцинк,12,ГОСТ 2590-2006,т
Сортовой прокат,КРУГ Г/К,Ст3 оцинк,КРУГ Г/К 16 Ст3 оцинк,"КРУГ Г/К марки Ст3 оцинк, размер 16 ; 18",16,99990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3 оцинк;16;18,Ст3 оцинк,16 ; 18,ГОСТ 2590-2006,т
Сортовой прокат,КРУГ Г/К,Ст3 оцинк К,КРУГ Г/К 8 Ст3 оцинк К,"КРУГ Г/К марки Ст3 оцинк К, размер 8",8,101250,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KRUG_GK/img.jpeg,балашиха;круг г/к;ст3 оцинк к;8,Ст3 оцинк К,8,ГОСТ 2590-2006,т
