категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Полимеры и технические материалы,Теплоизоляция полиэтилен,Рулон вспененный полиэтилен 13мм x 1м x 7м (7м2),Теплоизоляция полиэтилен 13 Рулон вспененный полиэтилен 13мм x 1м x 7м (7м2),"Теплоизоляция полиэтилен марки Рулон вспененный полиэтилен 13мм x 1м x 7м (7м2), размер 13",13,207,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,качественные стали;теплоизоляция полиэтилен;рулон вспененный полиэтилен 13мм x 1м x 7м (7м2);13,Рулон вспененный полиэтилен 13мм x 1м x 7м (7м2),13,,м2
Полимеры и технические материалы,Теплоизоляция полиэтилен,Рулон вспененный полиэтилен 3мм x 1м x 30м (30м2,Теплоизоляция полиэтилен 3 Рулон вспененный полиэтилен 3мм x 1м x 30м (30м2,"Теплоизоляция полиэтилен марки Рулон вспененный полиэтилен 3мм x 1м x 30м (30м2, размер 3",3,77,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,качественные стали;теплоизоляция полиэтилен;рулон вспененный полиэтилен 3мм x 1м x 30м (30м2;3,Рулон вспененный полиэтилен 3мм x 1м x 30м (30м2,3,,м2
Полимеры и технические материалы,Теплоизоляция полиэтилен,Рулон вспененный полиэтилен 5мм x 1м x20м (20м2),Теплоизоляция полиэтилен 5 Рулон вспененный полиэтилен 5мм x 1м x20м (20м2),"Теплоизоляция полиэтилен марки Рулон вспененный полиэтилен 5мм x 1м x20м (20м2), размер 5",5,108,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,качественные стали;теплоизоляция полиэтилен;рулон вспененный полиэтилен 5мм x 1м x20м (20м2);5,Рулон вспененный полиэтилен 5мм x 1м x20м (20м2),5,,м2
Полимеры и технические материалы,Теплоизоляция полиэтилен,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,Теплоизоляция полиэтилен 15 Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,"Теплоизоляция полиэтилен марки Трубка теплоизоляционная вспен полиэтилен Т<95C 2м, размер 15",15,11,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,качественные стали;теплоизоляция полиэтилен;трубка теплоизоляционная вспен полиэтилен т<95c 2м;15,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,15,,м
Полимеры и технические материалы,Теплоизоляция полиэтилен,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,Теплоизоляция полиэтилен 15 Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,"Теплоизоляция полиэтилен марки Трубка теплоизоляционная вспен полиэтилен Т<95C 2м, размер 15",15,17,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,качественные стали;теплоизоляция полиэтилен;трубка теплоизоляционная вспен полиэтилен т<95c 2м;15,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,15,,м
Полимеры и технические материалы,Теплоизоляция полиэтилен,Трубка теплоизоляционная �спен полиэтилен Т<95C 2м,Теплоизоляция полиэтилен 15 Трубка теплоизоляционная �спен полиэтилен Т<95C 2м,"Теплоизоляция полиэтилен марки Трубка теплоизоляционная �спен полиэтилен Т<95C 2м, размер 15",15,9,м,https://www.kavstal.ru/public/assets/images/mages/unknown/unknown.png,качественные стали;теплоизоляция полиэтилен;трубка теплоизоляционная ?спен полиэтилен т<95c 2м;15,Трубка теплоизоляционная �спен полиэтилен Т<95C 2м,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,,м,,,
Полимеры и технические материалы,Теплоизоляция полиэтилен,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,Теплоизоляция полиэтилен 18 Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,"Теплоизоляция полиэтилен марки Трубка теплоизоляционная вспен полиэтилен Т<95C 2м, размер 18",18,12,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,качественные стали;теплоизоляция полиэтилен;трубка теплоизоляционная вспен полиэтилен т<95c 2м;18,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,18,,м
Полимеры и технические материалы,Теплоизоляция полиэтилен,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,Теплоизоляция полиэтилен 18 Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,"Теплоизоляция полиэтилен марки Трубка теплоизоляционная вспен полиэтилен Т<95C 2м, размер 18",18,19,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,качественные стали;теплоизоляция полиэтилен;трубка теплоизоляционная вспен полиэтилен т<95c 2м;18,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,18,,м
Полимеры и технические материалы,Теплоизоляция полиэтилен,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,Теплоизоляция полиэтилен 18 Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,"Теплоизоляция полиэтилен марки Трубка теплоизоляционная вспен полиэтилен Т<95C 2м, размер 18",18,9,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,качественные стали;теплоизоляция полиэтилен;трубка теплоизоляционная вспен полиэтилен т<95c 2м;18,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,18,,м
Полимеры и технические материалы,Теплоизоляция полиэтилен,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,Теплоизоляция полиэтилен 22 Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,"Теплоизоляция полиэтилен марки Трубка теплоизоляционная вспен полиэтилен Т<95C 2м, размер 22",22,10,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/KACHESTVENNYE_STALI/TEPLOIZOLYATSIYA_POLIETILEN/img.webp,качественные стали;теплоизоляция полиэтилен;трубка теплоизоляционная вспен полиэтилен т<95c 2м;22,Трубка теплоизоляционная вспен полиэтилен Т<95C 2м,22,,м
