категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Сетка,СЕТКА ПЛЕТЕНАЯ,10.00x1.00,Сетка Плетеная 1000 10.00x1.00,"СЕТКА ПЛЕТЕНАЯ марки 10.00x1.00, размер 1000",1000,239,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_плетеная.webp,метизы;сетка плетеная;10.00x1.00;1000;сетка;плетеная,10.00x1.00,1000,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,10.00x1.00 оцинк,Сетка Плетеная 1000 10.00x1.00 оцинк,"СЕТКА ПЛЕТЕНАЯ марки 10.00x1.00 оцинк, размер 1000",1000,255,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_оцинкованная.webp,метизы;сетка плетеная;10.00x1.00 оцинк;1000;сетка;плетеная;10.00x1.00;оцинк,10.00x1.00 оцинк,1000,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,15.00x1.20,Сетка Плетеная 1000 15.00x1.20,"СЕТКА ПЛЕТЕНАЯ марки 15.00x1.20, размер 1000",1000,159,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_плетеная.webp,метизы;сетка плетеная;15.00x1.20;1000;сетка;плетеная,15.00x1.20,1000,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,15.00x1.40,Сетка Плетеная 1000 15.00x1.40,"СЕТКА ПЛЕТЕНАЯ марки 15.00x1.40, размер 1000",1000,209,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_плетеная.webp,метизы;сетка плетеная;15.00x1.40;1000;сетка;плетеная,15.00x1.40,1000,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,20.00x1.20,Сетка Плетеная 1500 20.00x1.20,"СЕТКА ПЛЕТЕНАЯ марки 20.00x1.20, размер 1500",1500,113,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_плетеная.webp,метизы;сетка плетеная;20.00x1.20;1500;сетка;плетеная,20.00x1.20,1500,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,20.00x1.20 оцинк,Сетка Плетеная 1500 20.00x1.20 оцинк,"СЕТКА ПЛЕТЕНАЯ марки 20.00x1.20 оцинк, размер 1500",1500,146,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_оцинкованная.webp,метизы;сетка плетеная;20.00x1.20 оцинк;1500;сетка;плетеная;20.00x1.20;оцинк,20.00x1.20 оцинк,1500,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,20.00x1.60 оцинк,Сетка Плетеная 1500 20.00x1.60 оцинк,"СЕТКА ПЛЕТЕНАЯ марки 20.00x1.60 оцинк, размер 1500",1500,219,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_оцинкованная.webp,метизы;сетка плетеная;20.00x1.60 оцинк;1500;сетка;плетеная;20.00x1.60;оцинк,20.00x1.60 оцинк,1500,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,20.00x1.80,Сетка Плетеная 1500 20.00x1.80,"СЕТКА ПЛЕТЕНАЯ марки 20.00x1.80, размер 1500",1500,214,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_плетеная.webp,метизы;сетка плетеная;20.00x1.80;1500;сетка;плетеная,20.00x1.80,1500,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,20.00x2.00,Сетка Плетеная 1500 20.00x2.00,"СЕТКА ПЛЕТЕНАЯ марки 20.00x2.00, размер 1500",1500,289,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_плетеная.webp,метизы;сетка плетеная;20.00x2.00;1500;сетка;плетеная,20.00x2.00,1500,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,35.00x1.60 оцинк,Сетка Плетеная 1500 35.00x1.60 оцинк,"СЕТКА ПЛЕТЕНАЯ марки 35.00x1.60 оцинк, размер 1500",1500,134,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_оцинкованная.webp,метизы;сетка плетеная;35.00x1.60 оцинк;1500;сетка;плетеная;35.00x1.60;оцинк,35.00x1.60 оцинк,1500,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,35.00x2.00,Сетка Плетеная 1500 35.00x2.00,"СЕТКА ПЛЕТЕНАЯ марки 35.00x2.00, размер 1500",1500,155,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_плетеная.webp,метизы;сетка плетеная;35.00x2.00;1500;сетка;плетеная,35.00x2.00,1500,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,35.00x2.00 оцинк,Сетка Плетеная 1500 35.00x2.00 оцинк,"СЕТКА ПЛЕТЕНАЯ марки 35.00x2.00 оцинк, размер 1500",1500,185,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_оцинкованная.webp,метизы;сетка плетеная;35.00x2.00 оцинк;1500;сетка;плетеная;35.00x2.00;оцинк,35.00x2.00 оцинк,1500,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,50.00x1.60 оцинк,Сетка Плетеная 1500 50.00x1.60 оцинк,"СЕТКА ПЛЕТЕНАЯ марки 50.00x1.60 оцинк, размер 1500",1500,79,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_оцинкованная.webp,метизы;сетка плетеная;50.00x1.60 оцинк;1500;сетка;плетеная;50.00x1.60;оцинк,50.00x1.60 оцинк,1500,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,50.00x1.80,Сетка Плетеная 1500 50.00x1.80,"СЕТКА ПЛЕТЕНАЯ марки 50.00x1.80, размер 1500 ; 2000",1500,86,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_плетеная.webp,метизы;сетка плетеная;50.00x1.80;1500;2000;сетка;плетеная,50.00x1.80,1500 ; 2000,,м2
Сетка,СЕТКА ПЛЕТЕНАЯ,50.00x1.80 оцинк,Сетка Плетеная 1500 50.00x1.80 оцинк,"СЕТКА ПЛЕТЕНАЯ марки 50.00x1.80 оцинк, размер 1500 ; 1800; 2000",1500,96,м2,1,0,0,https://www.kavstal.ru/public/assets/images/products/Сетка/СЕТКА_ПЛЕТЕНАЯ/сетка_оцинкованная.webp,метизы;сетка плетеная;50.00x1.80 оцинк;1500;1800;2000;сетка;плетеная;50.00x1.80;оцинк,50.00x1.80 оцинк,1500 ; 1800; 2000,,м2
