категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Швеллер,ШВЕЛЛЕР,10,Швеллер 10,"Швеллер 10, сталь Ст3",,79800,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;10;10,10,10,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,10,Швеллер 10,"Швеллер 10, сталь Ст3",,79800,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;10;10,10,10,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,10 6м,Швеллер 10,"Швеллер 10, сталь Ст3",,79800,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;10 6м;10;10,10 6м,10,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,12,Швеллер 12,"Швеллер 12, сталь Ст3",,79300,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;12;12,12,12,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,12,Швеллер 12,"Швеллер 12, сталь Ст3",,79300,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;12;12,12,12,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,12 6м,Швеллер 12,"Швеллер 12, сталь Ст3",,79300,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;12 6м;12;12,12 6м,12,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,14,Швеллер 14,"Швеллер 14, сталь Ст3",,78100,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;14;14,14,14,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,14,Швеллер 14,"Швеллер 14, сталь Ст3",,78100,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;14;14,14,14,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,14 6м,Швеллер 14,"Швеллер 14, сталь Ст3",,78100,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;14 6м;14;14,14 6м,14,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,16,Швеллер 16,"Швеллер 16, сталь Ст3",,78900,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;16;16,16,16,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,16,Швеллер 16,"Швеллер 16, сталь Ст3",,78900,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;16;16,16,16,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,16 6м,Швеллер 16,"Швеллер 16, сталь Ст3",,78900,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;16 6м;16;16,16 6м,16,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,18,Швеллер 18,"Швеллер 18, сталь Ст3",,77400,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;18;18,18,18,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,20,Швеллер 20,"Швеллер 20, сталь Ст3",,79500,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;20;20,20,20,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,20,Швеллер 20,"Швеллер 20, сталь Ст3",,79500,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;20;20,20,20,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,22,Швеллер 22,"Швеллер 22, сталь Ст3",,81200,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;22;22,22,22,ГОСТ 8240-97,т
Швеллер,ШВЕЛЛЕР,24,Швеллер 24,"Швеллер 24, сталь Ст3",,81700,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Швеллер/ШВЕЛЛЕР/швеллер.png,балашиха;швеллер;24;24,24,24,ГОСТ 8240-97,т
