категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","2205 (S32205) No1 14x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 14 2205 (S32205) No1 14x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки 2205 (S32205) No1 14x1500x6000, размер 14",14,456828,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;2205 (s32205) no1 14x1500x6000;14","2205 (S32205) No1 14x1500x6000",14,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","2507 (S32750) No1 10x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 10 2507 (S32750) No1 10x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки 2507 (S32750) No1 10x1500x6000, размер 10",10,603012,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;2507 (s32750) no1 10x1500x6000;10","2507 (S32750) No1 10x1500x6000",10,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","2507 (S32750) No1 12x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 12 2507 (S32750) No1 12x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки 2507 (S32750) No1 12x1500x6000, размер 12",12,603012,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;2507 (s32750) no1 12x1500x6000;12","2507 (S32750) No1 12x1500x6000",12,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","2507 (S32750) No1 16x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 16 2507 (S32750) No1 16x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки 2507 (S32750) No1 16x1500x6000, размер 16",16,603012,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;2507 (s32750) no1 16x1500x6000;16","2507 (S32750) No1 16x1500x6000",16,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","2507 (S32750) No1 20x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 20 2507 (S32750) No1 20x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки 2507 (S32750) No1 20x1500x6000, размер 20",20,603012,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;2507 (s32750) no1 20x1500x6000;20","2507 (S32750) No1 20x1500x6000",20,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","2507 (S32750) No1 25x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 25 2507 (S32750) No1 25x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки 2507 (S32750) No1 25x1500x6000, размер 25",25,603012,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;2507 (s32750) no1 25x1500x6000;25","2507 (S32750) No1 25x1500x6000",25,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","2507 (S32750) No1 45x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 45 2507 (S32750) No1 45x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки 2507 (S32750) No1 45x1500x6000, размер 45",45,603012,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;2507 (s32750) no1 45x1500x6000;45","2507 (S32750) No1 45x1500x6000",45,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","2507 (S32750) No1 50x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 50 2507 (S32750) No1 50x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки 2507 (S32750) No1 50x1500x6000, размер 50",50,603012,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;2507 (s32750) no1 50x1500x6000;50","2507 (S32750) No1 50x1500x6000",50,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","2507 (S32750) No1 6x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 6 2507 (S32750) No1 6x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки 2507 (S32750) No1 6x1500x6000, размер 6",6,603012,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;2507 (s32750) no1 6x1500x6000;6","2507 (S32750) No1 6x1500x6000",6,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 409L No1 12x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 12 AISI 409L No1 12x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 409L No1 12x1250x2500, размер 12",12,178051,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 409l no1 12x1250x2500;12","AISI 409L No1 12x1250x2500",12,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 409L No1 4x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 4 AISI 409L No1 4x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 409L No1 4x1250x2500, размер 4",4,164826,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 409l no1 4x1250x2500;4","AISI 409L No1 4x1250x2500",4,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 409L No1 5x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 5 AISI 409L No1 5x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 409L No1 5x1250x2500, размер 5",5,164826,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 409l no1 5x1250x2500;5","AISI 409L No1 5x1250x2500",5,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 409L No1 6x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 6 AISI 409L No1 6x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 409L No1 6x1250x2500, размер 6",6,173037,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 409l no1 6x1250x2500;6","AISI 409L No1 6x1250x2500",6,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 410S (08Х13) No1 3x1500x3000","ЛИСТ НЕРЖАВЕЮЩИЙ 3 AISI 410S (08Х13) No1 3x1500x3000","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 410S (08Х13) No1 3x1500x3000, размер 3",3,191896,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 410s (08х13) no1 3x1500x3000;3","AISI 410S (08Х13) No1 3x1500x3000",3,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 410S (08Х13) No1 4x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 4 AISI 410S (08Х13) No1 4x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 410S (08Х13) No1 4x1250x2500, размер 4",4,160725,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 410s (08х13) no1 4x1250x2500;4","AISI 410S (08Х13) No1 4x1250x2500",4,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 410S (08Х13) No1 4x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 4 AISI 410S (08Х13) No1 4x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 410S (08Х13) No1 4x1500x6000, размер 4",4,160725,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 410s (08х13) no1 4x1500x6000;4","AISI 410S (08Х13) No1 4x1500x6000",4,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 410S (08Х13) No1 5x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 5 AISI 410S (08Х13) No1 5x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 410S (08Х13) No1 5x1250x2500, размер 5",5,155610,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 410s (08х13) no1 5x1250x2500;5","AISI 410S (08Х13) No1 5x1250x2500",5,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 410S (08Х13) No1 5x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ 5 AISI 410S (08Х13) No1 5x1500x6000","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 410S (08Х13) No1 5x1500x6000, размер 5",5,155610,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 410s (08х13) no1 5x1500x6000;5","AISI 410S (08Х13) No1 5x1500x6000",5,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 3x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 3 AISI 430 (08Х17) No1 3x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 3x1250x2500, размер 3",3,163354,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 3x1250x2500;3","AISI 430 (08Х17) No1 3x1250x2500",3,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 4x1000x2000","ЛИСТ НЕРЖАВЕЮЩИЙ 4 AISI 430 (08Х17) No1 4x1000x2000","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 4x1000x2000, размер 4",4,172814,11060,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 4x1000x2000;4","AISI 430 (08Х17) No1 4x1000x2000",4,,11060
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 4x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 4 AISI 430 (08Х17) No1 4x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 4x1250x2500, размер 4",4,172814,17281,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 4x1250x2500;4","AISI 430 (08Х17) No1 4x1250x2500",4,,17281
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 4x1500x3000","ЛИСТ НЕРЖАВЕЮЩИЙ 4 AISI 430 (08Х17) No1 4x1500x3000","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 4x1500x3000, размер 4",4,172814,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 4x1500x3000;4","AISI 430 (08Х17) No1 4x1500x3000",4,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 5x1000x2000","ЛИСТ НЕРЖАВЕЮЩИЙ 5 AISI 430 (08Х17) No1 5x1000x2000","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 5x1000x2000, размер 5",5,165851,13268,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 5x1000x2000;5","AISI 430 (08Х17) No1 5x1000x2000",5,,13268
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 5x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 5 AISI 430 (08Х17) No1 5x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 5x1250x2500, размер 5",5,172814,21602,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 5x1250x2500;5","AISI 430 (08Х17) No1 5x1250x2500",5,,21602
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 5x1500x3000","ЛИСТ НЕРЖАВЕЮЩИЙ 5 AISI 430 (08Х17) No1 5x1500x3000","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 5x1500x3000, размер 5",5,183938,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 5x1500x3000;5","AISI 430 (08Х17) No1 5x1500x3000",5,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 6x1000x2000","ЛИСТ НЕРЖАВЕЮЩИЙ 6 AISI 430 (08Х17) No1 6x1000x2000","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 6x1000x2000, размер 6",6,177970,17085,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 6x1000x2000;6","AISI 430 (08Х17) No1 6x1000x2000",6,,17085
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 6x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ 6 AISI 430 (08Х17) No1 6x1250x2500","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 6x1250x2500, размер 6",6,172814,25922,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 6x1250x2500;6","AISI 430 (08Х17) No1 6x1250x2500",6,,25922
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","AISI 430 (08Х17) No1 6x1500x3000","ЛИСТ НЕРЖАВЕЮЩИЙ 6 AISI 430 (08Х17) No1 6x1500x3000","ЛИСТ НЕРЖАВЕЮЩИЙ марки AISI 430 (08Х17) No1 6x1500x3000, размер 6",6,184304,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;aisi 430 (08х17) no1 6x1500x3000;6","AISI 430 (08Х17) No1 6x1500x3000",6,,
"Листовой прокат","ЛИСТ НЕРЖАВЕЮЩИЙ","20Х23Н18 25x1200x3500","ЛИСТ НЕРЖАВЕЮЩИЙ 25 20Х23Н18 25x1200x3500","ЛИСТ НЕРЖАВЕЮЩИЙ марки 20Х23Н18 25x1200x3500, размер 25",25,871263,,1,0,0,https://www.kavstal.ru/public/assets/images/products/ЛИСТОВОЙ_ПРОКАТ/ЛИСТ_НЕРЖАВЕЮЩИЙ/img.webp,"труба обечайка;лист нержавеющий;20х23н18 25x1200x3500;25","20Х23Н18 25x1200x3500",25,,
