категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной c редуктором фланцевый 283 Ру16,Краны шаровые стальные 150 Кран шаровой стальной c редуктором фланцевый 283 Ру16,"Краны шаровые стальные марки Кран шаровой стальной c редуктором фланцевый 283 Ру16, размер 150",150,31700,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной c редуктором фланцевый 283 ру16;150,Кран шаровой стальной c редуктором фланцевый 283 Ру16,150,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной c редуктором фланцевый 283 Ру16,Краны шаровые стальные 300 Кран шаровой стальной c редуктором фланцевый 283 Ру16,"Краны шаровые стальные марки Кран шаровой стальной c редуктором фланцевый 283 Ру16, размер 300",300,178185,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной c редуктором фланцевый 283 ру16;300,Кран шаровой стальной c редуктором фланцевый 283 Ру16,300,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной муфтовый 280 Ру40,Краны шаровые стальные 15 Кран шаровой стальной муфтовый 280 Ру40,"Краны шаровые стальные марки Кран шаровой стальной муфтовый 280 Ру40, размер 15",15,1260,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной муфтовый 280 ру40;15,Кран шаровой стальной муфтовый 280 Ру40,15,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной муфтовый 280 Ру40,Краны шаровые стальные 20 Кран шаровой стальной муфтовый 280 Ру40,"Краны шаровые стальные марки Кран шаровой стальной муфтовый 280 Ру40, размер 20",20,1340,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной муфтовый 280 ру40;20,Кран шаровой стальной муфтовый 280 Ру40,20,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной муфтовый 280 Ру40,Краны шаровые стальные 25 Кран шаровой стальной муфтовый 280 Ру40,"Краны шаровые стальные марки Кран шаровой стальной муфтовый 280 Ру40, размер 25",25,1458,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной муфтовый 280 ру40;25,Кран шаровой стальной муфтовый 280 Ру40,25,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной муфтовый 280 Ру40,Краны шаровые стальные 32 Кран шаровой стальной муфтовый 280 Ру40,"Краны шаровые стальные марки Кран шаровой стальной муфтовый 280 Ру40, размер 32",32,1686,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной муфтовый 280 ру40;32,Кран шаровой стальной муфтовый 280 Ру40,32,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной муфтовый 280 Ру40,Краны шаровые стальные 40 Кран шаровой стальной муфтовый 280 Ру40,"Краны шаровые стальные марки Кран шаровой стальной муфтовый 280 Ру40, размер 40",40,1905,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной муфтовый 280 ру40;40,Кран шаровой стальной муфтовый 280 Ру40,40,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной муфтовый 280 Ру40,Краны шаровые стальные 50 Кран шаровой стальной муфтовый 280 Ру40,"Краны шаровые стальные марки Кран шаровой стальной муфтовый 280 Ру40, размер 50",50,2242,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной муфтовый 280 ру40;50,Кран шаровой стальной муфтовый 280 Ру40,50,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной муфтовый 380 Ру40,Краны шаровые стальные 50 Кран шаровой стальной муфтовый 380 Ру40,"Краны шаровые стальные марки Кран шаровой стальной муфтовый 380 Ру40, размер 50",50,120000,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной муфтовый 380 ру40;50,Кран шаровой стальной муфтовый 380 Ру40,50,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 282 Ру25,Краны шаровые стальные 65 Кран шаровой стальной приварной 282 Ру25,"Краны шаровые стальные марки Кран шаровой стальной приварной 282 Ру25, размер 65",65,2690,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 282 ру25;65,Кран шаровой стальной приварной 282 Ру25,65,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 282 Ру25,Краны шаровые стальные 80 Кран шаровой стальной приварной 282 Ру25,"Краны шаровые стальные марки Кран шаровой стальной приварной 282 Ру25, размер 80",80,3696,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 282 ру25;80,Кран шаровой стальной приварной 282 Ру25,80,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 282 Ру25,Краны шаровые стальные 150 Кран шаровой стальной приварной 282 Ру25,"Краны шаровые стальные марки Кран шаровой стальной приварной 282 Ру25, размер 150",150,11940,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 282 ру25;150,Кран шаровой стальной приварной 282 Ру25,150,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 282 Ру40,Краны шаровые стальные 15 Кран шаровой стальной приварной 282 Ру40,"Краны шаровые стальные марки Кран шаровой стальной приварной 282 Ру40, размер 15",15,1120,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 282 ру40;15,Кран шаровой стальной приварной 282 Ру40,15,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 282 Ру40,Краны шаровые стальные 20 Кран шаровой стальной приварной 282 Ру40,"Краны шаровые стальные марки Кран шаровой стальной приварной 282 Ру40, размер 20",20,1235,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 282 ру40;20,Кран шаровой стальной приварной 282 Ру40,20,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 282 Ру40,Краны шаровые стальные 25 Кран шаровой стальной приварной 282 Ру40,"Краны шаровые стальные марки Кран шаровой стальной приварной 282 Ру40, размер 25",25,1269,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 282 ру40;25,Кран шаровой стальной приварной 282 Ру40,25,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 282 Ру40,Краны шаровые стальные 32 Кран шаровой стальной приварной 282 Ру40,"Краны шаровые стальные марки Кран шаровой стальной приварной 282 Ру40, размер 32",32,1250,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 282 ру40;32,Кран шаровой стальной приварной 282 Ру40,32,,шт
Трубопроводная арматура,Краны шаровые стальные,Кран шаровой стальной приварной 282 Ру40,Краны шаровые стальные 40 Кран шаровой стальной приварной 282 Ру40,"Краны шаровые стальные марки Кран шаровой стальной приварной 282 Ру40, размер 40",40,1620,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/Трубопроводная_арматура/Краны_шаровые_стальные/краны.webp,качественные стали;краны шаровые стальные;кран шаровой стальной приварной 282 ру40;40,Кран шаровой стальной приварной 282 Ру40,40,,шт
