категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Трубы,Трубы чугунные безраструбные SML,Заглушка чугунная SML торцевая,Трубы чугунные безраструбные SML 50 Заглушка чугунная SML торцевая,"Трубы чугунные безраструбные SML марки Заглушка чугунная SML торцевая, размер 50",50,56,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;заглушка чугунная sml торцевая;50,Заглушка чугунная SML торцевая,50,,шт
Трубы,Трубы чугунные безраструбные SML,Заглушка чугунная SML торцевая,Трубы чугунные безраструбные SML 125 Заглушка чугунная SML торцевая,"Трубы чугунные безраструбные SML марки Заглушка чугунная SML торцевая, размер 125",125,327,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;заглушка чугунная sml торцевая;125,Заглушка чугунная SML торцевая,125,,шт
Трубы,Трубы чугунные безраструбные SML,Заглушка чугунная SML торцевая,Трубы чугунные безраструбные SML 250 Заглушка чугунная SML торцевая,"Трубы чугунные безраструбные SML марки Заглушка чугунная SML торцевая, размер 250",250,2237,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;заглушка чугунная sml торцевая;250,Заглушка чугунная SML торцевая,250,,шт
Трубы,Трубы чугунные безраструбные SML,Кольцо чугунное опорное SML опорное,Трубы чугунные безраструбные SML 50 Кольцо чугунное опорное SML опорное,"Трубы чугунные безраструбные SML марки Кольцо чугунное опорное SML опорное, размер 50",50,306,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;кольцо чугунное опорное sml опорное;50,Кольцо чугунное опорное SML опорное,50,,шт
Трубы,Трубы чугунные безраструбные SML,Кольцо чугунное опорное SML опорное,Трубы чугунные безраструбные SML 100 Кольцо чугунное опорное SML опорное,"Трубы чугунные безраструбные SML марки Кольцо чугунное опорное SML опорное, размер 100",100,508,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;кольцо чугунное опорное sml опорное;100,Кольцо чугунное опорное SML опорное,100,,шт
Трубы,Трубы чугунные безраструбные SML,Кольцо чугунное опорное SML опорное,Трубы чугунные безраструбные SML 125 Кольцо чугунное опорное SML опорное,"Трубы чугунные безраструбные SML марки Кольцо чугунное опорное SML опорное, размер 125",125,667,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;кольцо чугунное опорное sml опорное;125,Кольцо чугунное опорное SML опорное,125,,шт
Трубы,Трубы чугунные безраструбные SML,Кольцо чугунное опорное SML опорное,Трубы чугунные безраструбные SML 150 Кольцо чугунное опорное SML опорное,"Трубы чугунные безраструбные SML марки Кольцо чугунное опорное SML опорное, размер 150",150,835,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;кольцо чугунное опорное sml опорное;150,Кольцо чугунное опорное SML опорное,150,,шт
Трубы,Трубы чугунные безраструбные SML,Кольцо чугунное опорное SML опорное,Трубы чугунные безраструбные SML 200 Кольцо чугунное опорное SML опорное,"Трубы чугунные безраструбные SML марки Кольцо чугунное опорное SML опорное, размер 200",200,1212,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;кольцо чугунное опорное sml опорное;200,Кольцо чугунное опорное SML опорное,200,,шт
Трубы,Трубы чугунные безраструбные SML,Кольцо чугунное опорное SML опорное,Трубы чугунные безраструбные SML 250 Кольцо чугунное опорное SML опорное,"Трубы чугунные безраструбные SML марки Кольцо чугунное опорное SML опорное, размер 250",250,3307,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;кольцо чугунное опорное sml опорное;250,Кольцо чугунное опорное SML опорное,250,,шт
Трубы,Трубы чугунные безраструбные SML,Крестовина SML 90гр,Трубы чугунные безраструбные SML 100 Крестовина SML 90гр,"Трубы чугунные безраструбные SML марки Крестовина SML 90гр, размер 100",100,929,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;крестовина sml 90гр;100,Крестовина SML 90гр,100,,шт
Трубы,Трубы чугунные безраструбные SML,Крестовина SML 90гр,Трубы чугунные безраструбные SML 125 Крестовина SML 90гр,"Трубы чугунные безраструбные SML марки Крестовина SML 90гр, размер 125",125,1534,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;крестовина sml 90гр;125,Крестовина SML 90гр,125,,шт
