категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,6082Т6 (АД35),АЛЮМИНИЕВЫЙ КРУГ 25 6082Т6 (АД35),"АЛЮМИНИЕВЫЙ КРУГ марки 6082Т6 (АД35), размер 25",25,380000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;6082т6 (ад35);25,6082Т6 (АД35),25,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АД1,АЛЮМИНИЕВЫЙ КРУГ 10 АД1,"АЛЮМИНИЕВЫЙ КРУГ марки АД1, размер 10 ; 12; 20; 22; 25; 30; 35; 40; 50; 55; 70",10,559000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ад1;10;12;20;22;25;30;35;40;50;55;70,АД1,10 ; 12; 20; 22; 25; 30; 35; 40; 50; 55; 70,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК4,АЛЮМИНИЕВЫЙ КРУГ 100 АК4,"АЛЮМИНИЕВЫЙ КРУГ марки АК4, размер 100 ; 200; 250",100,454000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак4;100;200;250,АК4,100 ; 200; 250,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК4-1,АЛЮМИНИЕВЫЙ КРУГ 100 АК4-1,"АЛЮМИНИЕВЫЙ КРУГ марки АК4-1, размер 100 ; 200",100,454000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак4-1;100;200,АК4-1,100 ; 200,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК4-1 РТ-Техприемка,АЛЮМИНИЕВЫЙ КРУГ 150 АК4-1 РТ-Техприемка,"АЛЮМИНИЕВЫЙ КРУГ марки АК4-1 РТ-Техприемка, размер 150",150,553000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак4-1 рт-техприемка;150,АК4-1 РТ-Техприемка,150,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК4-1 РТ-Техприемка,АЛЮМИНИЕВЫЙ КРУГ 220 АК4-1 РТ-Техприемка,"АЛЮМИНИЕВЫЙ КРУГ марки АК4-1 РТ-Техприемка, размер 220",220,454000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак4-1 рт-техприемка;220,АК4-1 РТ-Техприемка,220,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК4-1Т1,АЛЮМИНИЕВЫЙ КРУГ 45 АК4-1Т1,"АЛЮМИНИЕВЫЙ КРУГ марки АК4-1Т1, размер 45",45,474000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак4-1т1;45,АК4-1Т1,45,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК4-1Т1 РТ-Техприемка,АЛЮМИНИЕВЫЙ КРУГ 30 АК4-1Т1 РТ-Техприемка,"АЛЮМИНИЕВЫЙ КРУГ марки АК4-1Т1 РТ-Техприемка, размер 30 ; 80",30,474000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак4-1т1 рт-техприемка;30;80,АК4-1Т1 РТ-Техприемка,30 ; 80,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК6,АЛЮМИНИЕВЫЙ КРУГ 12 АК6,"АЛЮМИНИЕВЫЙ КРУГ марки АК6, размер 12",12,728000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак6;12,АК6,12,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК6,АЛЮМИНИЕВЫЙ КРУГ 180 АК6,"АЛЮМИНИЕВЫЙ КРУГ марки АК6, размер 180 ; 190",180,473000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак6;180;190,АК6,180 ; 190,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК6 РТ-Техприемка,АЛЮМИНИЕВЫЙ КРУГ 35 АК6 РТ-Техприемка,"АЛЮМИНИЕВЫЙ КРУГ марки АК6 РТ-Техприемка, размер 35 ; 70; 85",35,499000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак6 рт-техприемка;35;70;85,АК6 РТ-Техприемка,35 ; 70; 85,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК6 РТ-Техприемка,АЛЮМИНИЕВЫЙ КРУГ 180 АК6 РТ-Техприемка,"АЛЮМИНИЕВЫЙ КРУГ марки АК6 РТ-Техприемка, размер 180 ; 190; 210; 240",180,482000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак6 рт-техприемка;180;190;210;240,АК6 РТ-Техприемка,180 ; 190; 210; 240,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК6 Т1,АЛЮМИНИЕВЫЙ КРУГ 70 АК6 Т1,"АЛЮМИНИЕВЫЙ КРУГ марки АК6 Т1, размер 70",70,499000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак6 т1;70,АК6 Т1,70,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК6 Т1 РТ-Техприемка,АЛЮМИНИЕВЫЙ КРУГ 12 АК6 Т1 РТ-Техприемка,"АЛЮМИНИЕВЫЙ КРУГ марки АК6 Т1 РТ-Техприемка, размер 12 ; 16",12,757000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак6 т1 рт-техприемка;12;16,АК6 Т1 РТ-Техприемка,12 ; 16,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК6 Т1 РТ-Техприемка,АЛЮМИНИЕВЫЙ КРУГ 25 АК6 Т1 РТ-Техприемка,"АЛЮМИНИЕВЫЙ КРУГ марки АК6 Т1 РТ-Техприемка, размер 25 ; 28",25,624000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак6 т1 рт-техприемка;25;28,АК6 Т1 РТ-Техприемка,25 ; 28,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АК6 Т1 РТ-Техприемка,АЛЮМИНИЕВЫЙ КРУГ 30 АК6 Т1 РТ-Техприемка,"АЛЮМИНИЕВЫЙ КРУГ марки АК6 Т1 РТ-Техприемка, размер 30 ; 35; 40; 50; 60; 70; 80",30,509000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;ак6 т1 рт-техприемка;30;35;40;50;60;70;80,АК6 Т1 РТ-Техприемка,30 ; 35; 40; 50; 60; 70; 80,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ2,АЛЮМИНИЕВЫЙ КРУГ 45 АМГ2,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ2, размер 45",45,485000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг2;45,АМГ2,45,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ2,АЛЮМИНИЕВЫЙ КРУГ 170 АМГ2,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ2, размер 170",170,454000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг2;170,АМГ2,170,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ2 РТ-Техприемка,АЛЮМИНИЕВЫЙ КРУГ 170 АМГ2 РТ-Техприемка,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ2 РТ-Техприемка, размер 170",170,463000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг2 рт-техприемка;170,АМГ2 РТ-Техприемка,170,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ3,АЛЮМИНИЕВЫЙ КРУГ 12 АМГ3,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ3, размер 12",12,860000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг3;12,АМГ3,12,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ3,АЛЮМИНИЕВЫЙ КРУГ 20 АМГ3,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ3, размер 20",20,713000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг3;20,АМГ3,20,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ3,АЛЮМИНИЕВЫЙ КРУГ 25 АМГ3,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ3, размер 25",25,636000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг3;25,АМГ3,25,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ3,АЛЮМИНИЕВЫЙ КРУГ 30 АМГ3,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ3, размер 30 ; 35; 50; 55; 65; 75; 80; 90; 100",30,575000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг3;30;35;50;55;65;75;80;90;100,АМГ3,30 ; 35; 50; 55; 65; 75; 80; 90; 100,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ3,АЛЮМИНИЕВЫЙ КРУГ 120 АМГ3,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ3, размер 120",120,544000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг3;120,АМГ3,120,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ5,АЛЮМИНИЕВЫЙ КРУГ 8 АМГ5,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ5, размер 8 ; 10; 12; 14",8,947000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг5;8;10;12;14,АМГ5,8 ; 10; 12; 14,ГОСТ 2590-2006,т
Сортовой прокат,АЛЮМИНИЕВЫЙ КРУГ,АМГ5,АЛЮМИНИЕВЫЙ КРУГ 16 АМГ5,"АЛЮМИНИЕВЫЙ КРУГ марки АМГ5, размер 16",16,750000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ALYUMINIEVYI_KRUG/img.png,цветные металлы;алюминиевый круг;амг5;16,АМГ5,16,ГОСТ 2590-2006,т
