категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Уголок,УГОЛОК,63x40,Уголок стальной 63x40x5 мм,"Уголок стальной 63x40x5 мм, сталь Ст3",5,84990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;63x40;5;стальной;63x40x5;мм,63x40,5,ГОСТ 8509-93,т
Уголок,УГОЛОК,75x50,Уголок стальной 75x50x5 мм,"Уголок стальной 75x50x5 мм, сталь Ст3",5,68490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;75x50;5;6;стальной;75x50x5;мм,75x50,5 ; 6,ГОСТ 8509-93,т
Уголок,УГОЛОК,100x63,Уголок стальной 100x63x6 мм,"Уголок стальной 100x63x6 мм, сталь Ст3",6,66490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;100x63;6;стальной;100x63x6;мм,100x63,6,ГОСТ 8509-93,т
Уголок,УГОЛОК,100x63,Уголок стальной 100x63x8 мм,"Уголок стальной 100x63x8 мм, сталь Ст3",8,64990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;100x63;8;стальной;100x63x8;мм,100x63,8,ГОСТ 8509-93,т
Уголок,УГОЛОК,125x80,Уголок стальной 125x80x8 мм,"Уголок стальной 125x80x8 мм, сталь Ст3",8,129490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;125x80;8;10;стальной;125x80x8;мм,125x80,8 ; 10,ГОСТ 8509-93,т
Уголок,УГОЛОК,160x100,Уголок стальной 160x100x10 мм,"Уголок стальной 160x100x10 мм, сталь Ст3",10,127490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;160x100;10;стальной;160x100x10;мм,160x100,10,ГОСТ 8509-93,т
Уголок,УГОЛОК,200x125,Уголок стальной 200x125x12 мм,"Уголок стальной 200x125x12 мм, сталь Ст3",12,134990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;200x125;12;стальной;200x125x12;мм,200x125,12,ГОСТ 8509-93,т
Уголок,УГОЛОК,25x25 6м,Уголок стальной 25x25x3 мм,"Уголок стальной 25x25x3 мм, сталь Ст3",3,61990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;25x25 6м;3;стальной;25x25x3;мм,25x25 6м,3,ГОСТ 8509-93,т
Уголок,УГОЛОК,25x25 6м,Уголок стальной 25x25x4 мм,"Уголок стальной 25x25x4 мм, сталь Ст3",4,60990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;25x25 6м;4;стальной;25x25x4;мм,25x25 6м,4,ГОСТ 8509-93,т
Уголок,УГОЛОК,32x32 6м,Уголок стальной 32x32x3 мм,"Уголок стальной 32x32x3 мм, сталь Ст3",3,61490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/UGOLOK/img.webp,балашиха;уголок;32x32 6м;3;4;стальной;32x32x3;мм,32x32 6м,3 ; 4,ГОСТ 8509-93,т
