категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,Круг стальной конструкционный 10 мм Ст3,Круг стальной конструкционный 10 мм Ст3,10,53990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3;10;круг;стальной;конструкционный;мм,Ст3,10,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,Круг стальной конструкционный 12 мм Ст3,Круг стальной конструкционный 12 мм Ст3,12,49990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3;12;круг;стальной;конструкционный;мм,Ст3,12,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,Круг стальной конструкционный 14 мм Ст3,Круг стальной конструкционный 14 мм Ст3,14,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3;14;16;18;20;22;24;25;28;30;32;34;36;38;40;42;45;48;круг;стальной;конструкционный;мм,Ст3,14 ; 16; 18; 20; 22; 24; 25; 28; 30; 32; 34; 36; 38; 40; 42; 45; 48,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,Круг стальной конструкционный 50 мм Ст3,Круг стальной конструкционный 50 мм Ст3,50,48990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3;50;56;60;65;70;75;80;круг;стальной;конструкционный;мм,Ст3,50 ; 56; 60; 65; 70; 75; 80,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,Круг стальной конструкционный 90 мм Ст3,Круг стальной конструкционный 90 мм Ст3,90,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3;90;100;круг;стальной;конструкционный;мм,Ст3,90 ; 100,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,Круг стальной конструкционный 110 мм Ст3,Круг стальной конструкционный 110 мм Ст3,110,54590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3;110;120;130;140;150;160;180;круг;стальной;конструкционный;мм,Ст3,110 ; 120; 130; 140; 150; 160; 180,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,Круг стальной конструкционный 190 мм Ст3,Круг стальной конструкционный 190 мм Ст3,190,63990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3;190;200;круг;стальной;конструкционный;мм,Ст3,190 ; 200,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,Круг стальной конструкционный 210 мм Ст3,Круг стальной конструкционный 210 мм Ст3,210,66590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3;210;220;230;240;250;круг;стальной;конструкционный;мм,Ст3,210 ; 220; 230; 240; 250,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3,Круг стальной конструкционный 260 мм Ст3,Круг стальной конструкционный 260 мм Ст3,260,79990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3;260;270;круг;стальной;конструкционный;мм,Ст3,260 ; 270,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк,Круг стальной конструкционный 8 мм Ст3 оцинк,Круг стальной конструкционный 8 мм Ст3 оцинк,8,101990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3 оцинк;8;круг;стальной;конструкционный;мм;ст3;оцинк,Ст3 оцинк,8,ГОСТ 2590-2006,т
